"","x"
"1","BUNN_13_EKDL210007863-1a-AK19072-AK23726_HLNT5DSX2_L2"
"2","CLEW_07_EKDL210007862-1a-AK16191-AK16192_HLNT5DSX2_L2"
"3","CLEW_08_EKDL210007862-1a-AK16207-AK16208_HLNT5DSX2_L2"
"4","CRES_12_EKDL210009123-1a-AK19017-AK23748_HTVH3DSX2_L3"
"5","CRES_15_EKDL210004788-1a-AK11674-AK2690_HHJYYDSX2_L1"
"6","DOLV_18_EKDL210009122-1a-AK31173-AK31174_HTVH3DSX2_L3"
"7","GREV_05_EKDL200012859-1a-AK11476-AK16258_HNLVYDSXY_L1"
"8","HAUG_19_EKDL210009123-1a-AK18989-AK33821_HTVH3DSX2_L3"
"9","INNE_25_EKDL200012859-1a-AK11495-AK16238_HNLVYDSXY_L1"
"10","KLEV_12_EKDL210005548-1a-AK11401-AK7949_HHJKNDSX2_L4"
"11","Lurida_01_EKDL210004788-1a-AK11677-AK5989_HHJYYDSX2_L1"
"12","Lurida_02_EKDL210004790-1a-AK11600-AK6934_HHJYYDSX2_L3"
"13","Lurida_03_EKDL210004789-1a-AK11591-AK16275_HHJYYDSX2_L2"
"14","Lurida_04_EKDL210007862-1a-AK19077-AK19672_HLNT5DSX2_L2"
"15","Lurida_05_EKDL210004790-1a-AK11605-AK16247_HHJYYDSX2_L3"
"16","Lurida_06_EKDL210004790-1a-AK11426-AK5939_HHJYYDSX2_L3"
"17","Lurida_07_EKDL210004788-1a-AK12629-AK16244_HHJYYDSX2_L1"
"18","Lurida_08_EKDL210005548-1a-AK11473-AK16281_HHJKNDSX2_L4"
"19","Lurida_09_EKDL210004788-1a-AK11381-AK16293_HHJYYDSX2_L1"
"20","NISS_38_EKDL200012859-1a-AK11528-AK14283_HNLVYDSXY_L1"
"21","ORIS_02_EKDL210009122-1a-AK31117-AK31118_HTVH3DSX2_L3"
"22","ORIS_03_EKDL210009122-1a-AK18657-AK31242_HTVH3DSX2_L3"
"23","ORNE_15_EKDL210004790-1a-AK11177-AK16280_HHJYYDSX2_L3"
"24","TRAL_08_EKDL210007862-1a-AK16177-AK16178_HLNT5DSX2_L2"
"25","TRAL_10_EKDL210007862-1a-AK16209-AK16210_HLNT5DSX2_L2"
"26","VADE_02_EKDL210005548-1a-AK11630-AK16248_HHJKNDSX2_L4"
