"","bamfile","mean_depth","proportion_of_reference_covered","pop"
"1","AGAB_02_EKDL210009123-1a-AK19007-AK23732_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",44.6092565419418,0.999755441428222,"AGAB"
"2","AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",24.1766324284666,1,"AGAB"
"3","AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",26.5357666911225,1,"AGAB"
"4","AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",31.8148080215212,1,"AGAB"
"5","AGAB_07_01_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",59.3154194179506,1,"AGAB"
"6","AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",37.2715822939594,1,"AGAB"
"7","AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",46.3662876008804,1,"AGAB"
"8","AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",26.1258253851798,1,"AGAB"
"9","AGAB_12_EKDL210009123-1a-AK18642-AK23733_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",46.7273171924676,1,"AGAB"
"10","AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",14.2791024700416,1,"AGAB"
"11","AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",26.3346784054781,1,"AGAB"
"12","AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",12.9255930545366,0.9994497432135,"AGAB"
"13","AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",35.3040474443629,1,"AGAB"
"14","AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",21.6593299095133,1,"AGAB"
"15","AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",16.3662876008804,0.999633162142333,"AGAB"
"16","AGAB_24_EKDL210009123-1a-AK19137-AK23734_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",12.9315235999022,1,"AGAB"
"17","AGAB_99_EKDL200012859-1a-AK11506-AK16290_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",13.644228417706,1,"AGAB"
"18","BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",23.1544998777207,0.999633162142333,"BARR"
"19","BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",96.7833822450477,0.999694301785278,"BARR"
"20","BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",14.1665443873808,0.999327463927611,"BARR"
"21","BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",63.6566397652238,0.999694301785278,"BARR"
"22","BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",39.6732697481047,0.999877720714111,"BARR"
"23","BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",43.372279285889,1,"BARR"
"24","BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",15.4957813646368,0.999572022499389,"BARR"
"25","BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",13.8827953044754,0.993519197847885,"BARR"
"26","BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",33.4128760088041,0.999694301785278,"BARR"
"27","BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",91.3650036683786,0.999938860357055,"BARR"
"28","BARR_13_EKDL200012859-1a-AK7415-AK16289_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",27.7726828075324,0.9994497432135,"BARR"
"29","BARR_14_EKDL200012859-1a-AK11667-AK16287_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",15.5747737833211,0.999694301785278,"BARR"
"30","BOVA_01_EKDL200012859-1a-AK11177-AK16280_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",37.182807532404,1,"BOVA"
"31","BOVA_02_EKDL210009123-1a-AK27221-AK31193_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",35.2526290046466,1,"BOVA"
"32","BOVA_03_EKDL210009123-1a-AK18987-AK34204_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",57.3884201516263,1,"BOVA"
"33","BOVA_04_EKDL210004790-1a-AK11608-AK2002_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",33.1400709219858,0.999572022499389,"BOVA"
"34","BOVA_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",40.0174247982392,1,"BOVA"
"35","BOVA_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",43.8361457569088,1,"BOVA"
"36","BOVA_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",22.3129738322328,1,"BOVA"
"37","BOVA_09_EKDL210009123-1a-AK23715-AK23716_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",39.1564563462949,1,"BOVA"
"38","BOVA_10_EKDL210009123-1a-AK18629-AK15913_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",20.9282831988261,0.999755441428222,"BOVA"
"39","BOVA_11_EKDL210009122-1a-AK31162-AK31163_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",30.9192345316703,1,"BOVA"
"40","BOVA_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",54.1749816581071,0.999694301785278,"BOVA"
"41","BOVA_13_EKDL200012859-1a-AK11246-AK16274_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",25.8331499144045,0.999572022499389,"BOVA"
"42","BOVA_15_EKDL210009122-1a-AK19045-AK31153_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",17.4082293959403,0.998410369283443,"BOVA"
"43","BOVA_16_EKDL210005548-1a-AK11692-AK16230_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",36.0404744436293,1,"BOVA"
"44","BOVA_17_EKDL210009122-1a-AK19289-AK31141_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",20.1225238444607,0.999572022499389,"BOVA"
"45","BOVA_18_EKDL210009122-1a-AK19173-AK31131_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",28.0628515529469,0.999633162142333,"BOVA"
"46","BOVA_19_EKDL210009122-1a-AK31121-AK31122_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",9.81517485937882,0.999510882856444,"BOVA"
"47","BOVA_20_EKDL210009122-1a-AK31108-AK31109_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",10.0115553925165,0.999327463927611,"BOVA"
"48","BUNN_01_EKDL210009123-1a-AK19109-AK31194_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",16.9633773538763,1,"BUNN"
"49","BUNN_02_EKDL210009123-1a-AK18986-AK34202_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",33.7554414282221,0.999633162142333,"BUNN"
"50","BUNN_03_EKDL210009123-1a-AK19003-AK23702_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",23.9523722181462,0.999694301785278,"BUNN"
"51","BUNN_04_EKDL210009123-1a-AK19133-AK18842_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",33.2042675470775,0.999694301785278,"BUNN"
"52","BUNN_05_EKDL210009123-1a-AK23704-AK22953_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",17.4093299095133,1,"BUNN"
"53","BUNN_06_EKDL210007863-1a-AK19056-AK23721_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",20.881083394473,0.999510882856444,"BUNN"
"54","BUNN_07_EKDL210007863-1a-AK23722-AK23723_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",10.3683052090976,0.999572022499389,"BUNN"
"55","BUNN_08_EKDL210007863-1a-AK19172-AK23724_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",16.8267302518953,1,"BUNN"
"56","BUNN_10_EKDL210007863-1a-AK19054-AK23703_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",17.878882367327,1,"BUNN"
"57","BUNN_12_EKDL210007863-1a-AK27190-AK34205_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",21.3274027879677,1,"BUNN"
"58","BUNN_13_EKDL210007863-1a-AK19072-AK23726_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",1.59403277084862,0.783137686475911,"BUNN"
"59","BUNN_14_EKDL210007863-1a-AK18989-AK33821_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",10.3506358522866,0.999388603570555,"BUNN"
"60","BUNN_15_EKDL210007863-1a-AK19103-AK23729_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",87.7228539985326,1,"BUNN"
"61","BUNN_16_EKDL210007863-1a-AK19147-AK23730_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",44.5310589386158,1,"BUNN"
"62","BUNN_17_EKDL210007863-1a-AK19113-AK23731_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",9.65663976522377,0.999633162142333,"BUNN"
"63","BUNN_19_EKDL210007863-1a-AK18642-AK23733_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",10.3793103448276,0.991623868916605,"BUNN"
"64","BUNN_20_EKDL210007863-1a-AK19137-AK23734_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",18.6703961848863,0.999633162142333,"BUNN"
"65","CLEW_02_EKDL210007862-1a-AK19291-AK18809_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",14.6227072633896,0.999572022499389,"CLEW"
"66","CLEW_04_EKDL210007862-1a-AK19016-AK18839_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",17.1265590608951,0.999572022499389,"CLEW"
"67","CLEW_05_EKDL210007862-1a-AK19084-AK19669_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",18.7512839325018,0.999510882856444,"CLEW"
"68","CLEW_07_EKDL210007862-1a-AK16191-AK16192_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",30.438371239912,0.999816581071167,"CLEW"
"69","CLEW_10_EKDL210007862-1a-AK15918-AK19682_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",16.1656272927366,0.9994497432135,"CLEW"
"70","COLN_01_EKDL210004789-1a-AK11204-AK16254_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",33.7083639031548,0.999510882856444,"COLN"
"71","COLN_02_EKDL210004790-1a-AK11479-AK16234_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",30.502201027146,0.999633162142333,"COLN"
"72","COLN_03_EKDL210005548-1a-AK11440-AK16251_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",40.7813034971876,0.999694301785278,"COLN"
"73","COLN_04_EKDL210004789-1a-AK11665-AK16278_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",23.8339447297628,0.999572022499389,"COLN"
"74","COLN_06_EKDL210004790-1a-AK11428-AK16253_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",29.0295915871851,0.999938860357055,"COLN"
"75","COLN_07_EKDL210004788-1a-AK7685-AK16294_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",57.5568598679384,0.999633162142333,"COLN"
"76","COLN_07_EKDL210009122-1a-AK19208-AK31190_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",47.287417461482,0.999633162142333,"COLN"
"77","COLN_10_EKDL210009122-1a-AK34058-AK34059_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",7.83045977011494,0.997065297138665,"COLN"
"78","COLN_11_EKDL200012859-1a-AK8204-AK9482_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",16.8384690633407,0.999510882856444,"COLN"
"79","COLN_12_EKDL210009122-1a-AK31169-AK31170_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",50.0257397896796,0.999694301785278,"COLN"
"80","COLN_13_EKDL210004790-1a-AK11584-AK16263_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",10.2619222303742,0.998165810711665,"COLN"
"81","COLN_18_EKDL210009123-1a-AK19076-AK23695_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",39.980190755686,0.999694301785278,"COLN"
"82","COLN_19_EKDL210009123-1a-AK19111-AK23696_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",33.1240523355344,0.999633162142333,"COLN"
"83","COLN_20_EKDL210009123-1a-AK19009-AK23697_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",37.6543775984348,0.999572022499389,"COLN"
"84","CORS_01_EKDL210004788-1a-AK11479-AK16234_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",48.7696258253852,0.999694301785278,"CORS"
"85","CORS_03_EKDL210007863-1a-AK19131-AK23741_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",19.2689532893128,0.999633162142333,"CORS"
"86","CORS_04_EKDL210007863-1a-AK18983-AK23742_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",11.818231841526,0.9994497432135,"CORS"
"87","CORS_05_EKDL210007863-1a-AK19068-AK23743_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",5.24125703105894,0.977622890682318,"CORS"
"88","CORS_06_EKDL210004790-1a-AK11464-AK16277_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",24.1526045487894,0.999694301785278,"CORS"
"89","CORS_07_EKDL210007863-1a-AK19095-AK23744_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",14.5380899975544,0.999510882856444,"CORS"
"90","CORS_08_EKDL210005548-1a-AK11495-AK16238_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",18.9094521887992,0.999572022499389,"CORS"
"91","CRES_01_EKDL210009123-1a-AK34208-AK29626_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",65.8633528980191,1,"CRES"
"92","CRES_02_EKDL210004789-1a-AK11698-AK16226_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",68.72902910247,0.999694301785278,"CRES"
"93","CRES_03_EKDL210004790-1a-AK11524-AK16276_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",47.638786989484,1,"CRES"
"94","CRES_04_EKDL210009123-1a-AK19138-AK23746_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",75.5172413793103,0.999572022499389,"CRES"
"95","CRES_05_EKDL210004790-1a-AK8204-AK9482_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",41.7013328442162,0.999755441428222,"CRES"
"96","CRES_06_EKDL200012859-1a-AK11520-AK16285_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",41.4575079481536,0.999694301785278,"CRES"
"97","CRES_08_EKDL210004789-1a-AK11178-AK16246_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",89.0439594032771,0.999694301785278,"CRES"
"98","CRES_09_EKDL210009123-1a-AK19170-AK23747_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",37.5700048911714,0.999633162142333,"CRES"
"99","CRES_10_EKDL210004790-1a-AK11178-AK16246_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",75.6535827830765,0.999755441428222,"CRES"
"100","CRES_11_EKDL210005548-1a-AK11572-AK16283_HHJKNDSX2_L4.dedup_clipoverlap_realignedMt",67.1446563952067,0.999694301785278,"CRES"
"101","CRES_12_EKDL210009123-1a-AK19017-AK23748_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",46.8366348740523,0.998716067498166,"CRES"
"102","CRES_13_EKDL210004790-1a-AK11398-AK16264_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",49.3471508926388,0.999694301785278,"CRES"
"103","CRES_15_EKDL210004788-1a-AK11674-AK2690_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",21.1983981413549,0.999694301785278,"CRES"
"104","CRES_16_EKDL210004790-1a-AK11506-AK16290_HHJYYDSX2_L3.dedup_clipoverlap_realignedMt",13.3354120811934,0.999816581071167,"CRES"
"105","CRES_17_EKDL200012859-1a-AK11600-AK6934_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",53.8077158229396,0.999572022499389,"CRES"
"106","CRES_18_EKDL210009123-1a-AK23749-AK23750_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",31.0725727561751,1,"CRES"
"107","CRES_20_EKDL200012859-1a-AK11377-AK16262_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",60.5610785033015,0.999694301785278,"CRES"
"108","DOLV_01_EKDL210009122-1a-AK19014-AK31232_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",20.6575568598679,0.999510882856444,"DOLV"
"109","DOLV_02_EKDL210009122-1a-AK31218-AK31219_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",13.1017975055026,0.999510882856444,"DOLV"
"110","DOLV_03_EKDL210009122-1a-AK31208-AK31209_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",40.3804108584006,1,"DOLV"
"111","DOLV_04_EKDL210009122-1a-AK31199-AK31200_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",33.4985326485693,1,"DOLV"
"112","DOLV_05_EKDL210009122-1a-AK31182-AK31183_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",15.5475055025679,0.999572022499389,"DOLV"
"113","DOLV_07_EKDL210009122-1a-AK18627-AK31161_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",12.0265346050379,0.999388603570555,"DOLV"
"114","DOLV_08_EKDL210009122-1a-AK31151-AK31152_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",31.1747982391783,0.999694301785278,"DOLV"
"115","DOLV_09_EKDL210009122-1a-AK19293-AK31140_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",10.0878576669112,0.997860112496943,"DOLV"
"116","DOLV_10_EKDL210009122-1a-AK31129-AK31130_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",25.8185375397408,1,"DOLV"
"117","DOLV_11_EKDL210009122-1a-AK31119-AK31120_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",6.29133039863047,0.985509904622157,"DOLV"
"118","DOLV_12_EKDL210009122-1a-AK18639-AK31107_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",26.5862068965517,1,"DOLV"
"119","DOLV_13_EKDL210009122-1a-AK31230-AK31231_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",6.34837368549768,0.995169968207386,"DOLV"
"120","DOLV_14_EKDL210009122-1a-AK19073-AK31217_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",26.2942651014918,1,"DOLV"
"121","DOLV_15_EKDL210009122-1a-AK19284-AK31207_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",23.1600635852287,1,"DOLV"
"122","DOLV_16_EKDL210009122-1a-AK19237-AK22949_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",17.0281242357545,1,"DOLV"
"123","DOLV_17_EKDL210009122-1a-AK19205-AK31181_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",41.6816458791881,0.999633162142333,"DOLV"
"124","DOLV_18_EKDL210009122-1a-AK31173-AK31174_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",5.23807776962582,0.989667400342382,"DOLV"
"125","DOLV_19_EKDL210009122-1a-AK18985-AK31160_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",8.59109806798728,0.983797994619711,"DOLV"
"126","DOLV_20_EKDL210009122-1a-AK19079-AK31150_HTVH3DSX2_L3.dedup_clipoverlap_realignedMt",20.9767057960381,0.999633162142333,"DOLV"
"127","FURI_01_EKDL210007862-1a-AK19254-AK19667_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",70.1710075813157,0.999816581071167,"FURI"
"128","FURI_02_EKDL210004789-1a-AK11520-AK16285_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",26.6568231841526,1,"FURI"
"129","FURI_03_EKDL210004789-1a-AK11528-AK14283_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",75.1979090242113,1,"FURI"
"130","FURI_04_EKDL210007862-1a-AK16171-AK16172_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",29.4092076302274,0.999694301785278,"FURI"
"131","FURI_05_EKDL210007862-1a-AK16187-AK16188_HLNT5DSX2_L2.dedup_clipoverlap_realignedMt",28.5525189532893,0.9994497432135,"FURI"
"132","FURI_06_EKDL210004789-1a-AK11160-AK9453_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",27.1546832966495,0.999633162142333,"FURI"
"133","FURI_07_EKDL210004788-1a-AK11710-AK16288_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",54.2151504035216,1,"FURI"
"134","FURI_08_EKDL210004788-1a-AK11375-AK16261_HHJYYDSX2_L1.dedup_clipoverlap_realignedMt",42.6823795549034,0.999694301785278,"FURI"
"135","FURI_09_EKDL200012859-1a-AK11656-AK574_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",17.6007581315725,0.999510882856444,"FURI"
"136","FURI_11_EKDL210004789-1a-AK11485-AK16252_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",36.9370873074101,0.999572022499389,"FURI"
"137","FURI_13_EKDL200012859-1a-AK11677-AK5989_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",12.1402543409146,0.999572022499389,"FURI"
"138","GASO_01_EKDL200012859-1a-AK11710-AK16288_HNLVYDSXY_L1.dedup_clipoverlap_realignedMt",35.6445952555637,0.999633162142333,"GASO"
"139","GASO_02_EKDL210004789-1a-AK11692-AK16230_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",41.3935558816337,1,"GASO"
"140","GASO_04_EKDL210004789-1a-AK7016-AK16255_HHJYYDSX2_L2.dedup_clipoverlap_realignedMt",46.0500122279286,0.999755441428222,"GASO"
