"","x"
"1","AGA_03_EKDL210004790-1a-AK11582-AK8205_HHJYYDSX2_L3"
"2","AGA_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2"
"3","AGA_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2"
"4","AGA_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1"
"5","AGA_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1"
"6","AGA_11_EKDL210004790-1a-AK11524-AK16276_HHJYYDSX2_L3"
"7","AGA_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1"
"8","AGA_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2"
"9","AGA_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4"
"10","BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4"
"11","BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2"
"12","BARR_04_EKDL210004790-1a-AK11433-AK13293_HHJYYDSX2_L3"
"13","BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4"
"14","BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1"
"15","BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4"
"16","BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3"
"17","BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2"
"18","BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2"
"19","BOVAL_04_EKDL210004790-1a-AK11519-AK16232_HHJYYDSX2_L3"
"20","BOVAL_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2"
"21","BOVAL_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2"
"22","BOVAL_07_EKDL210005548-1a-AK7685-AK16294_HHJKNDSX2_L4"
"23","BOVAL_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2"
"24","BOVAL_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1"
"25","BOVAL_14_EKDL210004788-1a-AK11387-AK16228_HHJYYDSX2_L1"
"26","BOVAL_16_EKDL210005548-1a-AK11692-AK16230_HHJKNDSX2_L4"
"27","COLNE_01_EKDL210004789-1a-AK11204-AK16254_HHJYYDSX2_L2"
"28","COLNE_03_EKDL210005548-1a-AK11440-AK16251_HHJKNDSX2_L4"
"29","COLNE_04_EKDL210004789-1a-AK11665-AK16278_HHJYYDSX2_L2"
"30","COLNE_06_EKDL210004790-1a-AK11520-AK16285_HHJYYDSX2_L3"
"31","COLNE_07_EKDL210004788-1a-AK7685-AK16294_HHJYYDSX2_L1"
"32","COLNE_08_EKDL210004790-1a-AK11702-AK16286_HHJYYDSX2_L3"
"33","COLNE_09_EKDL210004788-1a-AK11440-AK16251_HHJYYDSX2_L1"
"34","COLNE_13_EKDL210004790-1a-AK11605-AK16247_HHJYYDSX2_L3"
"35","COLNE_15_EKDL210005548-1a-AK11449-AK16245_HHJKNDSX2_L4"
"36","CORS_01_EKDL210004788-1a-AK11479-AK16234_HHJYYDSX2_L1"
"37","CORS_02_EKDL210004790-1a-AK11598-AK16273_HHJYYDSX2_L3"
"38","CORS_06_EKDL210004790-1a-AK12637-AK16268_HHJYYDSX2_L3"
"39","CORS_08_EKDL210005548-1a-AK11495-AK16238_HHJKNDSX2_L4"
"40","CRES_02_EKDL210004789-1a-AK11698-AK16226_HHJYYDSX2_L2"
"41","CRES_03_EKDL210004790-1a-AK11476-AK16258_HHJYYDSX2_L3"
"42","CRES_05_EKDL210004790-1a-AK11656-AK574_HHJYYDSX2_L3"
"43","CRES_07_EKDL210004789-1a-AK12629-AK16244_HHJYYDSX2_L2"
"44","CRES_08_EKDL210004789-1a-AK11178-AK16246_HHJYYDSX2_L2"
"45","CRES_10_EKDL210004790-1a-AK11497-AK9485_HHJYYDSX2_L3"
"46","CRES_11_EKDL210005548-1a-AK11572-AK16283_HHJKNDSX2_L4"
