"bamfile"	"mean_depth"	"proportion_of_reference_covered"	"pop"
"1"	"AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3"	1.35037185446448	0.631083787060456	"AGAB"
"2"	"AGAB_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2"	1.14012508156645	0.580110431814104	"AGAB"
"3"	"AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2"	1.68888673913708	0.686988750711465	"AGAB"
"4"	"AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1"	1.47006110139551	0.653034178964026	"AGAB"
"5"	"AGAB_07_01_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1"	1.78060383284402	0.701579178444892	"AGAB"
"6"	"AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1"	2.2141230086364	0.749849961226909	"AGAB"
"7"	"AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1"	2.23359424141599	0.756565916237176	"AGAB"
"8"	"AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3"	1.91420953237365	0.720780436588371	"AGAB"
"9"	"AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1"	1.08251658609398	0.563639863782763	"AGAB"
"10"	"AGAB_14_EKDL200012859-1a-AK12637-AK16268_HNLVYDSXY_L1"	1.2679599284395	0.615038694385326	"AGAB"
"11"	"AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1"	1.42631809899921	0.6411860638943	"AGAB"
"12"	"AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1"	0.85559780081198	0.500419217731563	"AGAB"
"13"	"AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2"	1.95570933453646	0.720877999360518	"AGAB"
"14"	"AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4"	1.71515609590785	0.693856078588466	"AGAB"
"15"	"AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1"	0.982221118177599	0.54640421533548	"AGAB"
